"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102192","tc_418","Default Suite","2026-05-18","passed","2026-05-18","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","tc_418"
"","0","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.ScheduledTest","E2E Flow Test","com.titan.mobile.test.ScheduledTest","login"
"","1","setUp","Default Suite","2026-05-06","broken","2026-05-06","com.titan.mobile.test.ThreadsTest","titanMobile_March_hybrid","com.titan.mobile.test.ThreadsTest","setUp"
"","82298","tc427","Default Suite","2026-04-07","passed","2026-04-07","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc427"
"Verify that multiple selected filters appear in the order of default sequence and filter bar respects default priority","0","Verify default sequence and order of multiple filters in filter bar","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifyFilterBarDefaultSequenceAndOrder"
"","58144","tc_415","Default Suite","2026-05-13","passed","2026-05-13","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","tc_415"
"Verify user can set reminders for mails from the scheduled folder","28922","Verify reminder functionality from scheduled folder","Default Suite","2026-05-22","passed","2026-05-22","com.titan.mobile.test.ScheduledTest","titanMobile_March_hybrid","com.titan.mobile.test.ScheduledTest","verifySetReminderFromScheduledFolder"
"Verify that when mail is composed and sent in offline mode, it gets sent automatically once device comes online","93951","Verify mail sent in offline mode is sent once device comes online","Default Suite","2026-05-12","passed","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","verifySendMailInOfflineMode"
"Verify that after sending an email, tapping the Undo button reverses the send action and the user is navigated back to the Compose screen.","0","Verify Undo action reverses send email operation","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.UndoTest","E2E Flow Test","com.titan.mobile.test.UndoTest","verifyUndoRevertsSendMailAndNavigatesToCompose"
"","931115","tc363_archiveSwipeActions","Default Suite","2026-04-27","passed","2026-04-27","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","tc363_archiveSwipeActions"
"","0","setupDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.FollowUpReminderTest","E2E Flow Test","com.titan.mobile.test.FollowUpReminderTest","setupDriver"
"","40187","offlineUndo","Default Suite","2026-03-12","passed","2026-03-12","com.titan.mobile.test.UndoTest","titanMobile_March_hybrid","com.titan.mobile.test.UndoTest","offlineUndo"
"","0","setupDriver","Default Suite","2026-04-27","broken","2026-04-27","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","setupDriver"
"","48996","qwerty","Default Suite","2026-05-20","passed","2026-05-20","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","qwerty"
"Verify user can create, edit, delete labels from mobile and manage labels created from both web and mobile","35207","Verify label creation, editing, deletion and cross-platform management from mobile","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","verifyLabelActionsAllowedOnlyInThreadDetailScreen"
"","0","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.VacationResponderTest","E2E Flow Test","com.titan.mobile.test.VacationResponderTest","setUp"
"","0","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.VacationResponderTest","E2E Flow Test","com.titan.mobile.test.VacationResponderTest","login"
"","0","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","setUp"
